cbsacode,statename,fipsstatecode,cbsatitle
25980,Georgia,13,"Hinesville, GA"
19140,Georgia,13,"Dalton, GA"
46520,Hawaii,15,"Urban Honolulu, HI"
27980,Hawaii,15,"Kahului-Wailuku-Lahaina, HI"
14260,Idaho,16,"Boise City, ID"
38540,Idaho,16,"Pocatello, ID"
26820,Idaho,16,"Idaho Falls, ID"
30860,Idaho,16,"Logan, UT-ID"
17660,Idaho,16,"Coeur d'Alene, ID"
30300,Idaho,16,"Lewiston, ID-WA"
16020,Illinois,17,"Cape Girardeau, MO-IL"
41180,Illinois,17,"St. Louis, MO-IL"
40420,Illinois,17,"Rockford, IL"
16580,Illinois,17,"Champaign-Urbana, IL"
16980,Illinois,17,"Chicago-Naperville-Elgin, IL-IN-WI"
14010,Illinois,17,"Bloomington, IL"
19340,Illinois,17,"Davenport-Moline-Rock Island, IA-IL"
16060,Illinois,17,"Carbondale-Marion, IL"
28100,Illinois,17,"Kankakee, IL"
19500,Illinois,17,"Decatur, IL"
37900,Illinois,17,"Peoria, IL"
44100,Illinois,17,"Springfield, IL"
19180,Illinois,17,"Danville, IL"
23060,Indiana,18,"Fort Wayne, IN"
18020,Indiana,18,"Columbus, IN"
29200,Indiana,18,"Lafayette-West Lafayette, IN"
26900,Indiana,18,"Indianapolis-Carmel-Anderson, IN"
31140,Indiana,18,"Louisville/Jefferson County, KY-IN"
45460,Indiana,18,"Terre Haute, IN"
17140,Indiana,18,"Cincinnati, OH-KY-IN"
34620,Indiana,18,"Muncie, IN"
21140,Indiana,18,"Elkhart-Goshen, IN"
29020,Indiana,18,"Kokomo, IN"
16980,Indiana,18,"Chicago-Naperville-Elgin, IL-IN-WI"
33140,Indiana,18,"Michigan City-La Porte, IN"
14020,Indiana,18,"Bloomington, IN"
21780,Indiana,18,"Evansville, IN-KY"
43780,Indiana,18,"South Bend-Mishawaka, IN-MI"
16300,Iowa,19,"Cedar Rapids, IA"
47940,Iowa,19,"Waterloo-Cedar Falls, IA"
19780,Iowa,19,"Des Moines-West Des Moines, IA"
20220,Iowa,19,"Dubuque, IA"
36540,Iowa,19,"Omaha-Council Bluffs, NE-IA"
26980,Iowa,19,"Iowa City, IA"
43580,Iowa,19,"Sioux City, IA-NE-SD"
19340,Iowa,19,"Davenport-Moline-Rock Island, IA-IL"
11180,Iowa,19,"Ames, IA"
48620,Kansas,20,"Wichita, KS"
41140,Kansas,20,"St. Joseph, MO-KS"
29940,Kansas,20,"Lawrence, KS"
45820,Kansas,20,"Topeka, KS"
28140,Kansas,20,"Kansas City, MO-KS"
31740,Kansas,20,"Manhattan, KS"
14540,Kentucky,21,"Bowling Green, KY"
17140,Kentucky,21,"Cincinnati, OH-KY-IN"
30460,Kentucky,21,"Lexington-Fayette, KY"
26580,Kentucky,21,"Huntington-Ashland, WV-KY-OH"
31140,Kentucky,21,"Louisville/Jefferson County, KY-IN"
17300,Kentucky,21,"Clarksville, TN-KY"
36980,Kentucky,21,"Owensboro, KY"
21060,Kentucky,21,"Elizabethtown-Fort Knox, KY"
21780,Kentucky,21,"Evansville, IN-KY"
29180,Louisiana,22,"Lafayette, LA"
12940,Louisiana,22,"Baton Rouge, LA"
43340,Louisiana,22,"Shreveport-Bossier City, LA"
29340,Louisiana,22,"Lake Charles, LA"
10780,Louisiana,22,"Alexandria, LA"
35380,Louisiana,22,"New Orleans-Metairie, LA"
26380,Louisiana,22,"Houma-Thibodaux, LA"
33740,Louisiana,22,"Monroe, LA"
25220,Louisiana,22,"Hammond, LA"
30340,Maine,23,"Lewiston-Auburn, ME"
38860,Maine,23,"Portland-South Portland, ME"
12620,Maine,23,"Bangor, ME"
19060,Maryland,24,"Cumberland, MD-WV"
12580,Maryland,24,"Baltimore-Columbia-Towson, MD"
47900,Maryland,24,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
37980,Maryland,24,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
15680,Maryland,24,"California-Lexington Park, MD"
41540,Maryland,24,"Salisbury, MD-DE"
25180,Maryland,24,"Hagerstown-Martinsburg, MD-WV"
12700,Massachusetts,25,"Barnstable Town, MA"
38340,Massachusetts,25,"Pittsfield, MA"
39300,Massachusetts,25,"Providence-Warwick, RI-MA"
14460,Massachusetts,25,"Boston-Cambridge-Newton, MA-NH"
44140,Massachusetts,25,"Springfield, MA"
49340,Massachusetts,25,"Worcester, MA-CT"
24340,Michigan,26,"Grand Rapids-Wyoming, MI"
13020,Michigan,26,"Bay City, MI"
35660,Michigan,26,"Niles-Benton Harbor, MI"
12980,Michigan,26,"Battle Creek, MI"
43780,Michigan,26,"South Bend-Mishawaka, IN-MI"
29620,Michigan,26,"Lansing-East Lansing, MI"
22420,Michigan,26,"Flint, MI"
27100,Michigan,26,"Jackson, MI"
28020,Michigan,26,"Kalamazoo-Portage, MI"
19820,Michigan,26,"Detroit-Warren-Dearborn, MI"
33220,Michigan,26,"Midland, MI"
33780,Michigan,26,"Monroe, MI"
34740,Michigan,26,"Muskegon, MI"
40980,Michigan,26,"Saginaw, MI"
11460,Michigan,26,"Ann Arbor, MI"
33460,Minnesota,27,"Minneapolis-St. Paul-Bloomington, MN-WI"
41060,Minnesota,27,"St. Cloud, MN"
31860,Minnesota,27,"Mankato-North Mankato, MN"
20260,Minnesota,27,"Duluth, MN-WI"
22020,Minnesota,27,"Fargo, ND-MN"
40340,Minnesota,27,"Rochester, MN"
29100,Minnesota,27,"La Crosse-Onalaska, WI-MN"
24220,Minnesota,27,"Grand Forks, ND-MN"
32820,Mississippi,28,"Memphis, TN-MS-AR"
27140,Mississippi,28,"Jackson, MS"
25620,Mississippi,28,"Hattiesburg, MS"
25060,Mississippi,28,"Gulfport-Biloxi-Pascagoula, MS"
41140,Missouri,29,"St. Joseph, MO-KS"
28140,Missouri,29,"Kansas City, MO-KS"
16020,Missouri,29,"Cape Girardeau, MO-IL"
17860,Missouri,29,"Columbia, MO"
27620,Missouri,29,"Jefferson City, MO"
44180,Missouri,29,"Springfield, MO"
